,0,1,2,3,4,5,6,7,8,9
0,0.0%±0.0%,0.43%±1.0%,0.33%±0.0%,0.18%±0.0%,0.11%±0.0%,0.91%±1.0%,0.23%±0.0%,0.2%±0.0%,0.26%±0.0%,0.03%±0.0%
1,0.0%±0.0%,0.0%±0.0%,0.06%±0.0%,0.0%±0.0%,0.06%±0.0%,0.14%±0.0%,0.14%±0.0%,0.12%±0.0%,0.06%±0.0%,0.0%±0.0%
2,0.42%±0.0%,1.03%±1.0%,0.0%±0.0%,0.43%±0.0%,0.53%±1.0%,0.72%±1.0%,0.23%±0.0%,0.77%±1.0%,0.38%±0.0%,0.05%±0.0%
3,0.26%±0.0%,0.53%±1.0%,1.25%±1.0%,0.0%±0.0%,0.0%±0.0%,3.76%±2.0%,0.03%±0.0%,0.49%±1.0%,1.93%±1.0%,0.37%±1.0%
4,0.23%±0.0%,1.73%±1.0%,1.61%±1.0%,0.02%±0.0%,0.0%±0.0%,0.7%±1.0%,0.31%±0.0%,0.38%±0.0%,0.37%±0.0%,1.47%±1.0%
5,0.88%±1.0%,0.2%±0.0%,0.5%±1.0%,0.95%±1.0%,0.4%±1.0%,0.0%±0.0%,0.9%±1.0%,0.0%±0.0%,0.53%±1.0%,0.1%±0.0%
6,0.66%±1.0%,0.62%±0.0%,0.51%±1.0%,0.06%±0.0%,0.53%±1.0%,1.08%±1.0%,0.0%±0.0%,0.03%±0.0%,0.19%±0.0%,0.06%±0.0%
7,0.15%±0.0%,0.29%±1.0%,0.66%±1.0%,0.03%±0.0%,0.59%±0.0%,0.22%±0.0%,0.0%±0.0%,0.0%±0.0%,0.35%±0.0%,0.99%±1.0%
8,0.57%±1.0%,1.12%±1.0%,1.18%±1.0%,1.04%±1.0%,0.59%±1.0%,2.15%±1.0%,0.24%±0.0%,0.33%±0.0%,0.0%±0.0%,0.17%±0.0%
9,0.27%±1.0%,0.25%±0.0%,0.3%±0.0%,0.19%±0.0%,1.26%±1.0%,0.64%±1.0%,0.06%±0.0%,0.94%±1.0%,0.62%±1.0%,0.0%±0.0%
